book_id,title,author,language,status,source_type,keywords
B001,The Emergence of Iranian Nationalism: Race and the Politics of Dislocation,Zia Ebrahimi,English,reading,xteink,"iran,iranian nationalism,race,modernity,identity"
B002,The Prophets of Doom,Neema Parvini,English,reading,xteink,"politics,culture,intellectual history"
B003,Talking to My Daughter About the Economy,Yanis Varoufakis,English,reading,xteink,"economics,capitalism,money,markets,inequality"
B004,Hayek's Bastards,Quinn Slobodian,English,completed,typed_document,"neoliberalism,libertarianism,far right,democracy,race,inequality,globalization,money"
B005,The Rise and Fall of the Neoliberal Order,Gary Gerstle,English,completed,typed_document,"neoliberalism,new deal,political order,markets,state,globalization,financial crisis,inequality"
B006,The Strange Death of Europe,Douglas Murray,English,completed,typed_document,"europe,immigration,national identity,multiculturalism,islam,assimilation,historical memory"
